lk,jrk,ID,takte,eeltakt,mõõt,maakond,Aasta,,kogujad,viide,SX,tekst,Attn,kogujad,maakond,maakond,kogujad,kogutud viise,taktimõõdud,,,tekst
1,1,0001-r,4,,3/8 2/4,Sangaste,,,Lähteenkorvu,306,,"E: Ut-si pruu-ti Lii-su-ke-ne, K: Ut-si pruu-ti Lii-su-ke.",,Lähteenkorvu (306),1. Sangaste,Alatskivi,A.Kiis,21,15/8,,,"E: Utsi pruuti Liisukene, K: Utsi pruuti Liisuke."
,2,0002-r,4,,3/8 2/4,Sangaste,1877,,Lähteenkorvu,303,,"E: Lä-ki ü-les mä-ki pää-le, K: Lä-ki ü-les mä-ki pääl. _ ",,Lähteenkorvu (303),"2. Sangaste, 1877",Ambla,A.Kiiss,2,2/4,,,"E: Läki üles mäki pääle, K: Läki üles mäki pääl. "
,3,0003-r,6,1/8,3/8,Rõngu,,,P.Kurg,9,,"Siin on kü-la kui ka-le-vi, uk-se ja ak-na kui a-le-vi.",,P.Kurg (9),3. Rõngu,Audru,A.Sibul,8,2/4 2/2 5/4,,,"Siin on küla kui kalevi, ukse ja akna kui alevi."
,4,0004-r,4,,3/8 5/8,Suure-Jaani,,,Saar-Siimer,246,,"Söö kar-ja, si-ne-ta kar-ja, joo kar-ja, pu-ne-ta kar-ja.",,Saar-Siimer (246),4. Suure-Jaani,Avinurme,A.Thomson,5,2/4 2/4 2/4 2/4 2/4 2/4 2/4 2/4 3/4 3/4,,,"Söö karja, sineta karja, joo karja, puneta karja."
,5,0005-r,2,,9/8,Viru-Jaagupist,,,J.Sollmann,33,,"Mis sa hää-le-tu ä-gi-sed, mis sa rin-nu-tu rö-gi-sed?",,J.Sollmann (33),5. Viru-Jaagupist,Häädemeeste,Aavik,4,2/4 2/4 2/4 2/4 2/4 2/4 3/4,,,"Mis sa hääletu ägised, mis sa rinnutu rögised?"
2,6,0006-r,4,,3/8 2/4,Sangaste,,,Lähteenkorvu,302,,"E: Läk-si mõt-sa kõn-di-mai-e, K: Läk-si mõt-sa kõn-di-ma.",,Lähteenkorvu (302),6. Sangaste,Hageri,Aavik-Sakeus,16,2/4 2/4 2/4 2/4 2/4 3/4 2/4 2/4,,,"E: Läksi mõtsa kõndimaie, K: Läksi mõtsa kõndima."
,7,0007-r,2,,3+2+2/8,Räpina,,,Lähteenkorvu,268,,"E: Le-lò le-là _ _ le-là, _ _ K: Le-lò le-là _ _ le-là.",,Lähteenkorvu (268),7. Räpina,Haljala,C.Kreek,17,2/4 2/4 2/4 2/4 2/4 3/4 2/4 3/4,,,"E: Lelò lelà lelà, K: Lelò lelà lelà."
,8,0008-r,4,,3/8 2/4,Vastseliina,1877,,Lähteenkorvu,290,,"E: Kui ma nak-ka lau-le-mai-e, K: Kui ma nak-ka lau-le-mai-e.",,Lähteenkorvu (290),"8. Vastseliina, 1877",Halliste,Elken-Rosenstrauch,21,2/4 2/4 2/4 2/4 2/4 5/8 2/4 5/8,,,"E: Kui ma nakka laulemaie, K: Kui ma nakka laulemaie."
,9,0009-r,4,,3/8 2/4,Karula,,,A.Kiis,13,,"Jaa-ni-kõ-ne, vel-le-kõ-ne. Jaa-ni-kõ-ne, vel-le-ke.",,A.Kiis (13),9. Karula,Hanila,"F.Talvik, S.Talvik",1,2/4 2/4 2/4 2/4 3/4,,,"Jaanikõne, vellekõne. Jaanikõne, velleke."
,10,0010-r,4,,2/4 3/8 3/8 3/4,Sangaste,,,A.Kiis,104,,"Kav-va, kav--va kar-ja-ne, kav-va, kar-ja hoo-le pääl.",,A.Kiis (104),10. Sangaste,Hargla,Fr.Paulmeister,6,2/4 2/4 2/4 2/4 3/4 2/4 3/4,,,"Kavva, kavva karjane, kavva, karja hoole pääl."
,11,0011-r,4,,3/8 2/4,Sangaste,1877,,Lähteenkorvu,301,,"E: I-mä-ke-ni, mem-me-ke-ni, K: I-mä-ke-ni, mem-me-ke-ni.",,Lähteenkorvu (301),"11. Sangaste, 1877",Hargla ja Sangaste,H.Leppik,2,2/4 2/4 2/4 2/4 3/4 3/4,,,"E: Imäkeni, memmekeni, K: Imäkeni, memmekeni."
,12,0012-r,3,1/8,3/4,Kanepi,1877,,Lähteenkorvu,298,,"E: Te-re ärt-sõ är-rä-ke-ne, K: Te-re ärt-sõ är-rä-ke-ne.",,Lähteenkorvu (298),"12. Kanepi, 1877",Hargla ja Urvaste,Hendrikmann,2,2/4 2/4 2/4 2/4 5/8 2/4 2/4 2/4,,,"E: Tere ärtsõ ärräkene, K: Tere ärtsõ ärräkene."
,13,0013-r,2,,3+2+3/8,Räpina,,,Lähteenkorvu,273,,"E: Lau-li--ji-ta ot-si-ti--ki, K: Lau-li--ji-ta ot-si-ti--ki.",,Lähteenkorvu (273),13. Räpina,Harju- ja Järvamaa,Hermann,23,2/4 2/4 2/4 2/4 5/8 2/4 5/8 2/4,,,"E: Laulijita otsitiki, K: Laulijita otsitiki."
3,14,0014-r,4,1/8,2/4,Otepää,,,Kiis-Eisenschmidt,98,,"E: Näi-o-ke-se noo-re-ke-se, K: Näi-o-ke-se noo-re-ke-se.",,Kiis-Eisenschmidt (98),14. Otepää,Harju-Jaani,J.Aavik,2,2/4 2/4 2/4 3/4,,,"E: Näiokese noorekese, K: Näiokese noorekese."
,15,0015-r,2,,3+2+2/8,Peetri,,,Viljak-Rosenstrauch,7,,"Läk-sin Pii-be-le _ _ pe-se-ma, läk-sin Pii-be-le pe-se-ma.",,Viljak-Rosenstrauch (7),15. Peetri,Harjumaa,J.Gutveis,1,2/4 2/4 2/4 3/4 3/4,,,"Läksin Piibele pesema, läksin Piibele pesema."
,16,0016-r,5,,6/8,Tarvastu,,,J.Müür,11,,"Is-tu-me, is-tu-me ilu-mäel-la, I-lu is-te meil i-ha-na, rõõ-mu is-te rõõ-viella, nal-ja räs-ti hor-mu-el.",,J.Müür (11),16. Tarvastu,Harraküla,J.Gutves,12,2/4 2/4 2/4 3/8 2/4 2/4 2/4 3/8,,,"Istume, istume ilumäella, Ilu iste meil ihana, rõõmu iste rõõviella, nalja rästi hormuel."
,17,0017-r,2,,3/4,Vändra,,,Saar,13,,"E: Õl--mes hõ-be-kü-ba-ra,",,Saar (13),17. Vändra,Helme,J.Kärt,10,2/4 2/4 3/4,,,"E: Õlmes hõbekübara,"
,18,0018-r,2,,9/8,Vändra,,,Saar,14,,"E: Mis sa si-ti-kas si-ri-sed, K: Mis sa si-ti-kas si-ri-sed?",,Saar (14),18. Vändra,Iisaku,J.Müür,5,2/4 2/4 3/4 2/4,,,"E: Mis sa sitikas sirised, K: Mis sa sitikas sirised?"
,19,0019-r,4,,2/4,Saaremaa,,,Süda-Liiv,22,,"Läk-sin mi-na kul-la-(la) kar-ja-maa-le, ka-ri mul rap-sis ran-da kau-du.",,Süda-Liiv (22),19. Saaremaa,Jaagupi,J.Sollmann,2,2/4 2/4 3/4 2/4 2/4 3/4,,,"Läksin mina kulla(la) karjamaale, kari mul rapsis randa kaudu."
