ID,takte,eeltakt,mõõt,maakond,kogujad,tekst
0001-r,4,,3/8 2/4,1. Sangaste,Lähteenkorvu (306),"E: Ut-si pruu-ti Lii-su-ke-ne, K: Ut-si pruu-ti Lii-su-ke."
0002-r,4,,3/8 2/4,"2. Sangaste, 1877",Lähteenkorvu (303),"E: Lä-ki ü-les mä-ki pää-le, K: Lä-ki ü-les mä-ki pääl. _ "
0003-r,6,1/8,3/8,3. Rõngu,P.Kurg (9),"Siin on kü-la kui ka-le-vi, uk-se ja ak-na kui a-le-vi."
0004-r,4,,3/8 5/8,4. Suure-Jaani,Saar-Siimer (246),"Söö kar-ja, si-ne-ta kar-ja, joo kar-ja, pu-ne-ta kar-ja."
0005-r,2,,9/8,5. Viru-Jaagupist,J.Sollmann (33),"Mis sa hää-le-tu ä-gi-sed, mis sa rin-nu-tu rö-gi-sed?"
0006-r,4,,3/8 2/4,6. Sangaste,Lähteenkorvu (302),"E: Läk-si mõt-sa kõn-di-mai-e, K: Läk-si mõt-sa kõn-di-ma."
0007-r,2,,3+2+2/8,7. Räpina,Lähteenkorvu (268),"E: Les."
0008-r,4,,3/8 2/4,"8. Vastseliina, 1877",Lähteenkorvu (290),"E: Kui ma nak-ka lau-le-mai-e, K: Kui ma nak-ka lau-le-mai-e."
0009-r,4,,3/8 2/4,9. Karula,A.Kiis (13),"Jaa-ni-kõ-ne, vel-le-kõ-ne. Jaa-ni-kõ-ne, vel-le-ke."
0010-r,4,,2/4 3/8 3/8 3/4,10. Sangaste,A.Kiis (104),"Kav-va, kav--va kar-ja-ne, kav-va, kar-ja hoo-le pääl."
0011-r,4,,3/8 2/4,"11. Sangaste, 1877",Lähteenkorvu (301),"E: I-mä-ke-ni, mem-me-ke-ni, K: I-mä-ke-ni, mem-me-ke-ni."
0012-r,3,1/8,3/4,"12. Kanepi, 1877",Lähteenkorvu (298),"E: Te-re ärt-sõ är-rä-ke-ne, K: Te-re ärt-sõ är-rä-ke-ne."
0013-r,2,,3+2+3/8,13. Räpina,Lähteenkorvu (273),"E: Lau-li--ji-ta ot-si-ti--ki, K: Lau-li--ji-ta ot-si-ti--ki."
0014-r,3,1/8,2/4,14. Otepää,Kiis-Eisenschmidt (98),"E: Näi-o-ke-se noo-re-ke-se, K: Näi-o-ke-se noo-re-ke-se."
0015-r,2,,3+2+2/8,15. Peetri,Viljak-Rosenstrauch (7),"Läk-sin Pii-be-le _ _ pe-se-ma, läk-sin Pii-be-le pe-se-ma."
0016-r,5,,6/8,16. Tarvastu,J.Müür (11),"Is-tu-me, is-tu-me ilu-mäel-la, I-lu is-te meil i-ha-na, rõõ-mu is-te rõõ-viella, nal-ja räs-ti hor-mu-el."
0017-r,2,,3/4,17. Vändra,Saar (13),"E: Õl--mes hõ-be-kü-ba-ra,"
0018-r,2,,9/8,18. Vändra,Saar (14),"E: Mis sa si-ti-kas si-ri-sed, K: Mis sa si-ti-kas si-ri-sed?"
0019-r,4,,2/4,19. Saaremaa,Süda-Liiv (22),"Läk-sin mi-na kul-la-(la) kar-ja-maa-le, ka-ri mul rap-sis ran-da kau-du."
0020-r,4,,3/8,20. Harju-Jaani,Viljak-Vilberg (10) [37],Läh-me _ _ kii-ke _ _ kat-su--mai-e.
0021-r,8,,2/4,"21. Rõuge, 1909",J.Gutveis (29),"Ä-ra u-ni mul-lõ tul-gu, hai-ku mul-lõ ha-ri-ne-gu; as-tu e-si a-ja-ma-ta, tu-lõ ü-les tuus-ti-mat-ta."
0022-r,8,,2/4,22. Koeru ja Järva-Jaani,Martin-Rosenstrauch (231),A-ni Pee-ter võt-tis nai-se ...
0023-r,4,,2/4,23. Ridala,Kreek-Mudda (11),Ann läks al-la me-re ää-re sii-di-tek-ki lo-pu-ta-ma.
0024-r,2,,2/4,24. Kuusalu,Viljak-Vilberg (112),"Neit-si-ke-ne noo-ru-ke-ne, kui sina ta-had mei-le tul-la..."
0025-r,2,,2/4,25. Kuusalu,Viljak-Vilberg (131),Ku-ku-me ü-le _ _ kol-me kae-vu.
0026-r,4,,2/4,26. Väike-Maarja,P.Penna (209),Mullu mina võt-sin nai-se noo-re...
0027-r,4,,2/4,27. Haljala,Viljak-Mark (8) a,"Nägin aga nägin aga ven-ni-ke-ne, nägin aga nei-ut kas-va-mai-e."
0028-r,4,,2/4,28. Kanepi,P.Tatz (47),"Kui mi-na är-ga ü-te-le-ma, kui mina är-ga ü-te-le-ma."
0029-r,4,,2/4,"29. Avinurme, 1909",M.Sild (1),"Kes sind käs-kis kos-ja tul-la, kes sind käs-kis kos-ja tul-la,
Pani aga, pa-ni nais-ta võt-ma, pani aga, pa-ni nais-ta võt-ma!"
0030-r,4,,2/4,30. Ambla,J.Välbe (40),"Kes sind käs-kis kos-ja tul-la, pani aga, pa-ni nais-ta võt-ma?"
0031-r,2,,2/4,31. Kuusalu,Viljak-Vilberg (198),"U--ra--ge, _ _ u--ra-ge, o-med."
0032-r,2,,2/4,32. Kuusalu,Viljak-Vilberg (197),Pe-re--tü-tar pii-ma-kuo-ki.
